step,checkpoint,agent,sims,num_games,a_win_rate,b_win_rate,draw_rate,mean_a_score,mean_b_score,mean_margin,ci95
7300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007300,greedy,,256,0.543,0.445,0.012,163.07,163.27,-0.2,0.06102307714094726
7400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007400,greedy,,256,0.547,0.434,0.02,163.35,162.91,0.44,0.06097879708349452
7500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007500,greedy,,256,0.535,0.453,0.012,162.67,163.07,-0.41,0.0610997532216784
7600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007600,greedy,,256,0.516,0.477,0.008,161.27,162.57,-1.3,0.06121863196772695
7700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007700,greedy,,256,0.543,0.445,0.012,163.47,162.69,0.78,0.06102307714094726
7800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007800,greedy,,256,0.559,0.434,0.008,164.22,163.34,0.88,0.06082208269822729
7900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_007900,greedy,,256,0.543,0.445,0.012,162.62,162.55,0.08,0.06102307714094726
8000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32sims/step_008000,greedy,,256,0.531,0.465,0.004,162.66,162.93,-0.27,0.06113216415071529
8100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008100,greedy,,256,0.578,0.418,0.004,166.66,162.5,4.16,0.060500119627980894
8200,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008200,greedy,,256,0.578,0.418,0.004,168.34,162.91,5.43,0.060500119627980894
8300,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008300,greedy,,256,0.59,0.406,0.004,168.28,162.91,5.36,0.06024957987405389
8400,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008400,greedy,,256,0.578,0.41,0.012,170.26,163.22,7.04,0.060500119627980894
8500,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008500,greedy,,256,0.617,0.375,0.008,172.35,163.45,8.9,0.059549491549046825
8600,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008600,greedy,,256,0.645,0.352,0.004,174.22,163.27,10.95,0.05861788203057152
8700,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008700,greedy,,256,0.617,0.379,0.004,174.67,163.32,11.35,0.059549491549046825
8800,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008800,greedy,,256,0.738,0.262,0.0,185.61,162.89,22.72,0.05386602338209124
8900,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_008900,greedy,,256,0.734,0.254,0.012,189.29,163.18,26.11,0.05412836848640461
9000,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_009000,greedy,,256,0.766,0.23,0.004,192.05,163.21,28.85,0.051863091645215284
9100,/content/drive/MyDrive/yahtzeeRL/checkpoints/win_loss_margin_32simsrun2/step_009100,greedy,,256,0.766,0.23,0.004,193.79,163.47,30.32,0.051863091645215284
